Actor,Film,Year,Genre,Box Office,IMDb
Leonardo DiCaprio,Inception,2010,Sci-Fi,$836.8M,8.8
Meryl Streep,The Devil Wears Prada,2006,Comedy/Drama,$326.7M,6.9
Robert Downey Jr.,Iron Man,2008,Action,$585.8M,7.9
Scarlett Johansson,Lucy,2014,Action/Sci-Fi,$463.4M,6.4
Brad Pitt,Fight Club,1999,Drama,$101.2M,8.8
Angelina Jolie,Maleficent,2014,Fantasy,$758.5M,6.9
Tom Cruise,Top Gun: Maverick,2022,Action,$1.496B,8.3
Natalie Portman,Black Swan,2010,Thriller,$329.4M,8
Will Smith,Men in Black,1997,Sci-Fi,$589.4M,7.3
Julia Roberts,Pretty Woman,1990,Romance,$463.4M,7.1
Morgan Freeman,The Shawshank Redemption,1994,Drama,$28.8M,9.3
Jennifer Lawrence,The Hunger Games,2012,Sci-Fi,$694.4M,7.2
Denzel Washington,Training Day,2001,Crime,$104.9M,7.7
Charlize Theron,Mad Max: Fury Road,2015,Action,$380.4M,8.1
Johnny Depp,Pirates of the Caribbean,2003,Adventure,$654.3M,8.1
Sandra Bullock,Gravity,2013,Sci-Fi,$723.2M,7.7
Matt Damon,The Martian,2015,Sci-Fi,$630.2M,8
Emma Stone,La La Land,2016,Musical,$448.9M,8
Ryan Gosling,Drive,2011,Crime,$81.4M,7.8
Anne Hathaway,Les Misérables,2012,Musical,$441.8M,7.5
Christian Bale,The Dark Knight,2008,Action,$1.006B,9
Kate Winslet,Titanic,1997,Romance,$2.257B,7.9
Hugh Jackman,The Greatest Showman,2017,Musical,$435.0M,7.5
Viola Davis,Fences,2016,Drama,$64.4M,7.2
Joaquin Phoenix,Joker,2019,Crime,$1.074B,8.4
Emily Blunt,A Quiet Place,2018,Horror,$341.0M,7.5
Samuel L. Jackson,Pulp Fiction,1994,Crime,$213.9M,8.9
Amy Adams,Arrival,2016,Sci-Fi,$203.4M,7.9
Tom Hanks,Cast Away,2000,Adventure,$429.6M,7.8
Cate Blanchett,Blue Jasmine,2013,Drama,$97.5M,7.3
